invoice_id,branch,city,customer_type,gender,product_line,date,time,payment_method,rating,unit_price,quantity_sold,COGS,VAT,gross_profit,net_profit,time_of_the_day,day_name,month_name,product_line_status
115-38-7388,C,Naypyitaw,Member,Female,"Fashion accessories",2019-03-30,12:51:00,"Credit card",9.5,10.18,8,81.44,4.0720,85.5120,77.3680,Afternoon,Saturday,March,Bad
115-99-4379,B,Mandalay,Member,Female,"Fashion accessories",2019-03-14,19:02:00,"Credit card",8.5,54.73,7,383.11,19.1555,402.2655,363.9545,Evening,Thursday,March,Good
118-62-1812,C,Naypyitaw,Member,Female,"Home and lifestyle",2019-03-24,17:56:00,Cash,7.9,78.38,4,313.52,15.6760,329.1960,297.8440,Evening,Sunday,March,Good
120-06-4233,C,Naypyitaw,Normal,Male,"Electronic accessories",2019-03-12,20:36:00,Cash,9.3,30.61,6,183.66,9.1830,192.8430,174.4770,Evening,Tuesday,March,Bad
120-54-2248,B,Mandalay,Normal,Female,"Food and beverages",2019-01-22,18:08:00,"Credit card",8.0,28.86,5,144.30,7.2150,151.5150,137.0850,Evening,Tuesday,January,Bad
122-61-9553,C,Naypyitaw,Normal,Female,"Electronic accessories",2019-03-14,19:33:00,Cash,5.6,51.32,9,461.88,23.0940,484.9740,438.7860,Evening,Thursday,March,Good
123-19-1176,A,Yangon,Member,Male,"Health and beauty",2019-01-27,20:33:00,Ewallet,8.4,58.22,8,465.76,23.2880,489.0480,442.4720,Evening,Sunday,January,Good
123-35-4896,C,Naypyitaw,Normal,Female,"Sports and travel",2019-02-17,19:11:00,Ewallet,5.3,46.66,9,419.94,20.9970,440.9370,398.9430,Evening,Sunday,February,Good
124-31-1458,A,Yangon,Member,Female,"Electronic accessories",2019-01-08,14:30:00,Cash,6.6,79.59,3,238.77,11.9385,250.7085,226.8315,Afternoon,Tuesday,January,Bad
125-45-2293,A,Yangon,Normal,Female,"Fashion accessories",2019-01-19,13:11:00,Cash,4.2,99.10,6,594.60,29.7300,624.3300,564.8700,Afternoon,Saturday,January,Good
126-54-1082,A,Yangon,Member,Female,"Home and lifestyle",2019-01-07,11:44:00,"Credit card",8.8,21.54,9,193.86,9.6930,203.5530,184.1670,Morning,Monday,January,Bad
127-47-6963,A,Yangon,Normal,Male,"Health and beauty",2019-03-09,13:53:00,"Credit card",9.8,51.71,4,206.84,10.3420,217.1820,196.4980,Afternoon,Saturday,March,Bad
129-29-8530,A,Yangon,Member,Male,"Sports and travel",2019-03-10,19:15:00,Ewallet,7.0,62.62,5,313.10,15.6550,328.7550,297.4450,Evening,Sunday,March,Good
130-67-4723,A,Yangon,Member,Male,"Food and beverages",2019-01-11,13:57:00,Ewallet,9.4,48.50,6,291.00,14.5500,305.5500,276.4500,Afternoon,Friday,January,Bad
130-98-8941,C,Naypyitaw,Normal,Male,"Fashion accessories",2019-02-09,10:00:00,Cash,5.7,64.26,7,449.82,22.4910,472.3110,427.3290,Morning,Saturday,February,Good
131-15-8856,C,Naypyitaw,Member,Female,"Food and beverages",2019-03-30,19:26:00,"Credit card",4.0,72.52,8,580.16,29.0080,609.1680,551.1520,Evening,Saturday,March,Good
131-70-8179,A,Yangon,Member,Female,"Health and beauty",2019-02-17,16:27:00,Cash,4.2,92.09,3,276.27,13.8135,290.0835,262.4565,Evening,Sunday,February,Bad
132-23-6451,A,Yangon,Member,Male,"Health and beauty",2019-01-04,13:21:00,Cash,7.8,20.97,5,104.85,5.2425,110.0925,99.6075,Afternoon,Friday,January,Bad
132-32-9879,B,Mandalay,Member,Female,"Electronic accessories",2019-03-09,18:00:00,Cash,9.5,93.96,4,375.84,18.7920,394.6320,357.0480,Evening,Saturday,March,Good
133-14-7229,C,Naypyitaw,Normal,Male,"Health and beauty",2019-01-01,11:43:00,Cash,5.0,62.87,2,125.74,6.2870,132.0270,119.4530,Morning,Tuesday,January,Bad
133-77-3154,B,Mandalay,Member,Male,"Fashion accessories",2019-02-16,18:04:00,"Credit card",9.4,60.18,4,240.72,12.0360,252.7560,228.6840,Evening,Saturday,February,Bad
134-54-4720,B,Mandalay,Normal,Female,"Electronic accessories",2019-01-30,13:58:00,Ewallet,5.7,42.42,8,339.36,16.9680,356.3280,322.3920,Afternoon,Wednesday,January,Good
134-75-2619,A,Yangon,Member,Male,"Electronic accessories",2019-03-25,18:51:00,Cash,6.9,19.32,7,135.24,6.7620,142.0020,128.4780,Evening,Monday,March,Bad
135-13-8269,B,Mandalay,Member,Female,"Food and beverages",2019-01-26,16:04:00,Cash,9.1,78.88,2,157.76,7.8880,165.6480,149.8720,Evening,Saturday,January,Bad
135-84-8019,A,Yangon,Normal,Female,"Fashion accessories",2019-02-27,16:10:00,Ewallet,7.6,77.93,9,701.37,35.0685,736.4385,666.3015,Evening,Wednesday,February,Good
136-08-6195,A,Yangon,Normal,Female,"Home and lifestyle",2019-02-15,17:01:00,"Credit card",6.4,69.96,8,559.68,27.9840,587.6640,531.6960,Evening,Friday,February,Good
137-63-5492,C,Naypyitaw,Normal,Male,"Electronic accessories",2019-01-29,14:26:00,Ewallet,9.0,58.76,10,587.60,29.3800,616.9800,558.2200,Afternoon,Tuesday,January,Good
137-74-8729,C,Naypyitaw,Normal,Female,"Fashion accessories",2019-03-13,12:47:00,Ewallet,6.8,12.19,8,97.52,4.8760,102.3960,92.6440,Afternoon,Wednesday,March,Bad
138-17-5109,A,Yangon,Member,Female,"Home and lifestyle",2019-01-15,15:42:00,"Credit card",6.5,89.21,9,802.89,40.1445,843.0345,762.7455,Afternoon,Tuesday,January,Good
139-20-0155,B,Mandalay,Member,Male,"Electronic accessories",2019-01-24,17:37:00,"Credit card",7.0,40.30,10,403.00,20.1500,423.1500,382.8500,Evening,Thursday,January,Good
139-32-4183,A,Yangon,Member,Female,"Sports and travel",2019-03-14,14:19:00,Ewallet,7.4,97.48,9,877.32,43.8660,921.1860,833.4540,Afternoon,Thursday,March,Good
139-52-2867,C,Naypyitaw,Normal,Female,"Fashion accessories",2019-02-13,10:50:00,"Credit card",4.8,22.51,7,157.57,7.8785,165.4485,149.6915,Morning,Wednesday,February,Bad
142-63-6033,B,Mandalay,Normal,Male,"Home and lifestyle",2019-03-20,19:17:00,Ewallet,4.9,92.36,5,461.80,23.0900,484.8900,438.7100,Evening,Wednesday,March,Good
142-72-4741,C,Naypyitaw,Member,Male,"Fashion accessories",2019-02-28,18:37:00,"Credit card",6.0,93.20,2,186.40,9.3200,195.7200,177.0800,Evening,Thursday,February,Bad
144-51-6085,A,Yangon,Member,Male,"Home and lifestyle",2019-01-05,16:05:00,"Credit card",4.4,70.74,4,282.96,14.1480,297.1080,268.8120,Evening,Saturday,January,Bad
145-94-9061,B,Mandalay,Normal,Female,"Food and beverages",2019-01-25,19:48:00,Cash,9.6,88.36,5,441.80,22.0900,463.8900,419.7100,Evening,Friday,January,Good
146-09-5432,A,Yangon,Member,Male,"Food and beverages",2019-02-09,19:17:00,Ewallet,4.6,35.04,9,315.36,15.7680,331.1280,299.5920,Evening,Saturday,February,Good
148-41-7930,C,Naypyitaw,Normal,Male,"Health and beauty",2019-01-23,10:33:00,Cash,6.1,99.96,7,699.72,34.9860,734.7060,664.7340,Morning,Wednesday,January,Good
148-82-2527,C,Naypyitaw,Member,Female,"Home and lifestyle",2019-03-05,13:44:00,"Credit card",8.4,12.12,10,121.20,6.0600,127.2600,115.1400,Afternoon,Tuesday,March,Bad
149-14-0304,C,Naypyitaw,Member,Female,"Health and beauty",2019-02-06,14:24:00,Cash,6.6,28.50,8,228.00,11.4000,239.4000,216.6000,Afternoon,Wednesday,February,Bad
149-15-7606,B,Mandalay,Member,Male,"Sports and travel",2019-03-06,15:31:00,Ewallet,5.1,37.32,9,335.88,16.7940,352.6740,319.0860,Afternoon,Wednesday,March,Good
149-61-1929,A,Yangon,Normal,Male,"Sports and travel",2019-01-19,14:08:00,"Credit card",6.7,64.19,10,641.90,32.0950,673.9950,609.8050,Afternoon,Saturday,January,Good
149-71-6266,B,Mandalay,Member,Male,"Sports and travel",2019-01-28,12:43:00,Cash,4.5,78.07,9,702.63,35.1315,737.7615,667.4985,Afternoon,Monday,January,Good
150-89-8043,A,Yangon,Normal,Male,"Sports and travel",2019-02-14,15:04:00,Cash,6.2,44.65,3,133.95,6.6975,140.6475,127.2525,Afternoon,Thursday,February,Bad
151-16-1484,A,Yangon,Member,Male,"Electronic accessories",2019-02-13,12:38:00,Ewallet,6.5,32.25,4,129.00,6.4500,135.4500,122.5500,Afternoon,Wednesday,February,Bad
151-27-8496,C,Naypyitaw,Normal,Female,"Electronic accessories",2019-01-19,11:43:00,Ewallet,8.6,56.13,4,224.52,11.2260,235.7460,213.2940,Morning,Saturday,January,Bad
151-33-7434,B,Mandalay,Normal,Female,"Food and beverages",2019-02-04,20:43:00,"Credit card",6.5,67.77,1,67.77,3.3885,71.1585,64.3815,Evening,Monday,February,Bad
152-03-4217,B,Mandalay,Normal,Female,"Home and lifestyle",2019-03-17,11:55:00,"Credit card",4.3,11.28,9,101.52,5.0760,106.5960,96.4440,Morning,Sunday,March,Bad
152-08-9985,B,Mandalay,Member,Male,"Health and beauty",2019-03-12,12:09:00,"Credit card",8.6,64.36,9,579.24,28.9620,608.2020,550.2780,Afternoon,Tuesday,March,Good
152-68-2907,A,Yangon,Normal,Male,"Food and beverages",2019-02-15,13:30:00,"Credit card",9.5,52.20,3,156.60,7.8300,164.4300,148.7700,Afternoon,Friday,February,Bad
153-58-4872,C,Naypyitaw,Member,Female,"Food and beverages",2019-03-01,15:32:00,Ewallet,4.2,74.89,4,299.56,14.9780,314.5380,284.5820,Afternoon,Friday,March,Bad
154-74-7179,B,Mandalay,Normal,Male,"Sports and travel",2019-02-26,19:24:00,Ewallet,7.9,54.45,1,54.45,2.7225,57.1725,51.7275,Evening,Tuesday,February,Bad
154-87-7367,C,Naypyitaw,Normal,Male,"Home and lifestyle",2019-03-15,14:04:00,Ewallet,6.3,65.26,8,522.08,26.1040,548.1840,495.9760,Afternoon,Friday,March,Good
155-45-3814,C,Naypyitaw,Member,Female,"Electronic accessories",2019-03-19,15:29:00,Ewallet,4.7,88.55,8,708.40,35.4200,743.8200,672.9800,Afternoon,Tuesday,March,Good
156-20-0370,B,Mandalay,Normal,Female,"Electronic accessories",2019-03-10,18:10:00,"Credit card",5.1,25.45,1,25.45,1.2725,26.7225,24.1775,Evening,Sunday,March,Bad
156-95-3964,A,Yangon,Normal,Female,"Food and beverages",2019-03-25,15:19:00,Ewallet,8.0,55.39,4,221.56,11.0780,232.6380,210.4820,Afternoon,Monday,March,Bad
157-13-5295,A,Yangon,Member,Male,"Health and beauty",2019-03-09,18:24:00,Ewallet,6.5,51.94,10,519.40,25.9700,545.3700,493.4300,Evening,Saturday,March,Good
160-22-2687,A,Yangon,Member,Female,"Health and beauty",2019-01-23,14:21:00,Ewallet,8.8,95.95,5,479.75,23.9875,503.7375,455.7625,Afternoon,Wednesday,January,Good
162-48-8011,A,Yangon,Member,Female,"Food and beverages",2019-02-10,15:10:00,Cash,8.5,44.59,5,222.95,11.1475,234.0975,211.8025,Afternoon,Sunday,February,Bad
162-65-8559,C,Naypyitaw,Member,Male,"Food and beverages",2019-01-21,20:13:00,Cash,4.8,68.98,1,68.98,3.4490,72.4290,65.5310,Evening,Monday,January,Bad
163-56-7055,C,Naypyitaw,Member,Male,"Fashion accessories",2019-03-26,19:20:00,Cash,4.1,48.71,1,48.71,2.4355,51.1455,46.2745,Evening,Tuesday,March,Bad
166-19-2553,A,Yangon,Member,Male,"Sports and travel",2019-01-18,17:26:00,Cash,9.9,89.06,6,534.36,26.7180,561.0780,507.6420,Evening,Friday,January,Good
169-52-4504,A,Yangon,Normal,Female,"Electronic accessories",2019-03-14,14:13:00,"Credit card",5.8,15.69,3,47.07,2.3535,49.4235,44.7165,Afternoon,Thursday,March,Bad
172-42-8274,B,Mandalay,Normal,Female,"Electronic accessories",2019-03-02,18:18:00,"Credit card",5.8,38.27,2,76.54,3.8270,80.3670,72.7130,Evening,Saturday,March,Bad
173-50-1108,B,Mandalay,Member,Female,"Sports and travel",2019-02-13,12:14:00,"Credit card",5.0,20.18,4,80.72,4.0360,84.7560,76.6840,Afternoon,Wednesday,February,Bad
173-57-2300,C,Naypyitaw,Member,Male,"Sports and travel",2019-03-13,12:51:00,Cash,6.1,72.88,2,145.76,7.2880,153.0480,138.4720,Afternoon,Wednesday,March,Bad
173-82-9529,B,Mandalay,Normal,Female,"Fashion accessories",2019-01-26,14:51:00,Cash,9.7,37.95,10,379.50,18.9750,398.4750,360.5250,Afternoon,Saturday,January,Good
174-36-3675,C,Naypyitaw,Member,Male,"Food and beverages",2019-02-14,17:29:00,Cash,5.2,99.37,2,198.74,9.9370,208.6770,188.8030,Evening,Thursday,February,Bad
174-64-0215,B,Mandalay,Normal,Male,"Sports and travel",2019-03-05,17:49:00,"Credit card",8.9,69.74,10,697.40,34.8700,732.2700,662.5300,Evening,Tuesday,March,Good
174-75-0888,B,Mandalay,Normal,Male,"Electronic accessories",2019-03-14,12:32:00,Cash,7.3,21.58,9,194.22,9.7110,203.9310,184.5090,Afternoon,Thursday,March,Bad
175-54-2529,A,Yangon,Member,Male,"Food and beverages",2019-03-03,17:01:00,"Credit card",9.6,22.17,8,177.36,8.8680,186.2280,168.4920,Evening,Sunday,March,Bad
176-64-7711,B,Mandalay,Normal,Male,"Food and beverages",2019-03-27,19:11:00,"Credit card",4.3,32.32,3,96.96,4.8480,101.8080,92.1120,Evening,Wednesday,March,Bad
176-78-1170,C,Naypyitaw,Member,Male,"Health and beauty",2019-01-26,15:11:00,Ewallet,7.3,33.81,3,101.43,5.0715,106.5015,96.3585,Afternoon,Saturday,January,Bad
181-82-6255,B,Mandalay,Normal,Female,"Home and lifestyle",2019-02-08,10:58:00,Cash,7.0,16.37,6,98.22,4.9110,103.1310,93.3090,Morning,Friday,February,Bad
181-94-6432,C,Naypyitaw,Member,Male,"Fashion accessories",2019-02-05,19:05:00,Ewallet,9.7,69.33,2,138.66,6.9330,145.5930,131.7270,Evening,Tuesday,February,Bad
182-52-7000,A,Yangon,Member,Female,"Sports and travel",2019-01-01,20:26:00,Ewallet,6.9,27.04,4,108.16,5.4080,113.5680,102.7520,Evening,Tuesday,January,Bad
182-69-8360,B,Mandalay,Normal,Female,"Electronic accessories",2019-01-30,13:32:00,"Credit card",4.0,23.65,4,94.60,4.7300,99.3300,89.8700,Afternoon,Wednesday,January,Bad
182-88-2763,B,Mandalay,Member,Male,"Food and beverages",2019-03-20,19:28:00,"Credit card",5.0,79.91,3,239.73,11.9865,251.7165,227.7435,Evening,Wednesday,March,Bad
183-21-3799,C,Naypyitaw,Normal,Female,"Electronic accessories",2019-02-19,15:14:00,Ewallet,7.2,77.63,9,698.67,34.9335,733.6035,663.7365,Afternoon,Tuesday,February,Good
183-56-6882,C,Naypyitaw,Member,Female,"Food and beverages",2019-02-06,10:42:00,Ewallet,7.5,99.42,4,397.68,19.8840,417.5640,377.7960,Morning,Wednesday,February,Good
186-09-3669,C,Naypyitaw,Member,Female,"Health and beauty",2019-01-22,10:57:00,Ewallet,9.2,81.51,1,81.51,4.0755,85.5855,77.4345,Morning,Tuesday,January,Bad
186-43-8965,A,Yangon,Member,Female,"Home and lifestyle",2019-02-24,10:10:00,"Credit card",4.1,47.68,2,95.36,4.7680,100.1280,90.5920,Morning,Sunday,February,Bad
186-71-5196,A,Yangon,Member,Female,"Food and beverages",2019-03-27,16:30:00,Ewallet,6.2,79.54,2,159.08,7.9540,167.0340,151.1260,Evening,Wednesday,March,Bad
186-79-9562,B,Mandalay,Normal,Male,"Health and beauty",2019-03-29,14:06:00,Cash,8.9,71.77,7,502.39,25.1195,527.5095,477.2705,Afternoon,Friday,March,Good
187-83-5490,A,Yangon,Member,Male,"Electronic accessories",2019-01-31,13:47:00,Cash,4.7,20.77,4,83.08,4.1540,87.2340,78.9260,Afternoon,Thursday,January,Bad
188-55-0967,B,Mandalay,Member,Male,"Health and beauty",2019-01-15,15:01:00,"Credit card",5.0,66.47,10,664.70,33.2350,697.9350,631.4650,Afternoon,Tuesday,January,Good
189-08-9157,C,Naypyitaw,Normal,Female,"Fashion accessories",2019-01-08,16:17:00,"Credit card",5.9,31.73,9,285.57,14.2785,299.8485,271.2915,Evening,Tuesday,January,Bad
189-17-4241,A,Yangon,Normal,Female,"Fashion accessories",2019-03-10,12:17:00,"Credit card",7.7,87.67,2,175.34,8.7670,184.1070,166.5730,Afternoon,Sunday,March,Bad
189-40-5216,C,Naypyitaw,Normal,Male,"Electronic accessories",2019-01-09,11:40:00,Cash,6.0,96.37,7,674.59,33.7295,708.3195,640.8605,Morning,Wednesday,January,Good
189-52-0236,A,Yangon,Normal,Male,"Electronic accessories",2019-03-14,12:07:00,Cash,7.6,99.55,7,696.85,34.8425,731.6925,662.0075,Afternoon,Thursday,March,Good
189-55-2313,C,Naypyitaw,Normal,Female,"Fashion accessories",2019-01-31,10:33:00,Ewallet,6.0,62.18,10,621.80,31.0900,652.8900,590.7100,Morning,Thursday,January,Good
189-98-2939,C,Naypyitaw,Normal,Male,"Fashion accessories",2019-03-01,13:22:00,Cash,7.2,78.55,9,706.95,35.3475,742.2975,671.6025,Afternoon,Friday,March,Good
190-14-3147,B,Mandalay,Normal,Female,"Health and beauty",2019-02-23,20:43:00,Ewallet,6.4,17.97,4,71.88,3.5940,75.4740,68.2860,Evening,Saturday,February,Bad
190-59-3964,B,Mandalay,Member,Male,"Food and beverages",2019-02-03,14:35:00,"Credit card",6.0,47.16,5,235.80,11.7900,247.5900,224.0100,Afternoon,Sunday,February,Bad
191-10-6171,B,Mandalay,Normal,Female,"Fashion accessories",2019-01-25,13:18:00,Cash,7.5,39.62,7,277.34,13.8670,291.2070,263.4730,Afternoon,Friday,January,Bad
191-29-0321,B,Mandalay,Member,Female,"Fashion accessories",2019-02-27,18:57:00,"Credit card",5.0,19.77,10,197.70,9.8850,207.5850,187.8150,Evening,Wednesday,February,Bad
192-98-7397,C,Naypyitaw,Normal,Male,"Fashion accessories",2019-01-08,14:11:00,Ewallet,9.5,12.78,1,12.78,0.6390,13.4190,12.1410,Afternoon,Tuesday,January,Bad
195-06-0432,A,Yangon,Member,Male,"Home and lifestyle",2019-01-13,12:55:00,"Credit card",9.3,81.01,3,243.03,12.1515,255.1815,230.8785,Afternoon,Sunday,January,Bad
196-01-2849,C,Naypyitaw,Member,Female,"Fashion accessories",2019-02-10,13:56:00,Cash,9.5,73.38,7,513.66,25.6830,539.3430,487.9770,Afternoon,Sunday,February,Good
197-77-7132,B,Mandalay,Member,Male,"Electronic accessories",2019-01-12,18:22:00,Ewallet,6.0,91.56,8,732.48,36.6240,769.1040,695.8560,Evening,Saturday,January,Good
198-66-9832,B,Mandalay,Member,Female,"Fashion accessories",2019-02-04,19:38:00,Cash,9.5,72.04,2,144.08,7.2040,151.2840,136.8760,Evening,Monday,February,Bad
198-84-7132,B,Mandalay,Member,Male,"Fashion accessories",2019-01-02,13:40:00,Cash,7.0,40.61,9,365.49,18.2745,383.7645,347.2155,Afternoon,Wednesday,January,Good
199-75-8169,A,Yangon,Member,Male,"Sports and travel",2019-03-06,12:27:00,"Credit card",8.6,15.81,10,158.10,7.9050,166.0050,150.1950,Afternoon,Wednesday,March,Bad
200-16-5952,C,Naypyitaw,Member,Male,"Food and beverages",2019-01-17,16:46:00,Cash,6.0,65.65,2,131.30,6.5650,137.8650,124.7350,Evening,Thursday,January,Bad
200-40-6154,B,Mandalay,Member,Male,"Home and lifestyle",2019-02-09,11:45:00,Cash,5.7,65.91,6,395.46,19.7730,415.2330,375.6870,Morning,Saturday,February,Good
201-63-8275,C,Naypyitaw,Member,Female,"Sports and travel",2019-02-17,16:50:00,Ewallet,5.7,67.99,7,475.93,23.7965,499.7265,452.1335,Evening,Sunday,February,Good
201-86-2184,B,Mandalay,Member,Female,"Electronic accessories",2019-02-02,19:40:00,Cash,9.9,26.26,7,183.82,9.1910,193.0110,174.6290,Evening,Saturday,February,Bad
207-73-1363,B,Mandalay,Normal,Male,"Health and beauty",2019-03-01,12:15:00,Ewallet,8.1,69.51,2,139.02,6.9510,145.9710,132.0690,Afternoon,Friday,March,Bad
209-61-0206,A,Yangon,Normal,Female,"Home and lifestyle",2019-01-05,17:29:00,Ewallet,6.1,42.91,5,214.55,10.7275,225.2775,203.8225,Evening,Saturday,January,Bad
210-30-7976,B,Mandalay,Member,Female,"Fashion accessories",2019-03-14,11:16:00,Ewallet,4.1,22.32,4,89.28,4.4640,93.7440,84.8160,Morning,Thursday,March,Bad
210-57-1719,B,Mandalay,Normal,Female,"Health and beauty",2019-02-05,12:34:00,Cash,9.7,58.24,9,524.16,26.2080,550.3680,497.9520,Afternoon,Tuesday,February,Good
210-67-5886,C,Naypyitaw,Member,Female,"Health and beauty",2019-02-05,10:41:00,"Credit card",7.8,98.21,3,294.63,14.7315,309.3615,279.8985,Morning,Tuesday,February,Bad
210-74-9613,C,Naypyitaw,Normal,Male,"Fashion accessories",2019-03-16,15:33:00,Ewallet,6.8,97.26,4,389.04,19.4520,408.4920,369.5880,Afternoon,Saturday,March,Good
211-05-0490,C,Naypyitaw,Member,Female,"Electronic accessories",2019-03-03,13:42:00,Cash,7.5,51.92,5,259.60,12.9800,272.5800,246.6200,Afternoon,Sunday,March,Bad
211-30-9270,C,Naypyitaw,Normal,Male,"Health and beauty",2019-01-28,15:16:00,"Credit card",4.9,17.41,5,87.05,4.3525,91.4025,82.6975,Afternoon,Monday,January,Bad
212-62-1842,A,Yangon,Normal,Male,"Food and beverages",2019-03-28,16:44:00,Cash,9.9,58.26,6,349.56,17.4780,367.0380,332.0820,Evening,Thursday,March,Good
213-32-1216,A,Yangon,Normal,Female,"Electronic accessories",2019-01-23,10:28:00,Cash,7.3,66.06,6,396.36,19.8180,416.1780,376.5420,Morning,Wednesday,January,Good
213-72-6612,A,Yangon,Normal,Male,"Food and beverages",2019-03-20,15:56:00,Cash,6.2,43.25,2,86.50,4.3250,90.8250,82.1750,Afternoon,Wednesday,March,Bad
214-17-6927,C,Naypyitaw,Normal,Female,"Food and beverages",2019-02-07,18:23:00,Ewallet,9.9,16.48,6,98.88,4.9440,103.8240,93.9360,Evening,Thursday,February,Bad
214-30-2776,B,Mandalay,Member,Female,"Electronic accessories",2019-03-11,19:44:00,"Credit card",9.0,34.49,5,172.45,8.6225,181.0725,163.8275,Evening,Monday,March,Bad
217-58-1179,A,Yangon,Member,Male,"Home and lifestyle",2019-01-05,11:25:00,Cash,4.2,62.65,4,250.60,12.5300,263.1300,238.0700,Morning,Saturday,January,Bad
218-59-9410,A,Yangon,Member,Female,"Home and lifestyle",2019-03-29,16:54:00,Ewallet,8.2,72.42,3,217.26,10.8630,228.1230,206.3970,Evening,Friday,March,Bad
219-22-9386,B,Mandalay,Member,Male,"Sports and travel",2019-03-09,17:26:00,"Credit card",4.2,99.96,9,899.64,44.9820,944.6220,854.6580,Evening,Saturday,March,Good
219-61-4139,C,Naypyitaw,Normal,Male,"Electronic accessories",2019-01-23,17:16:00,Ewallet,6.4,83.08,1,83.08,4.1540,87.2340,78.9260,Evening,Wednesday,January,Bad
220-28-1851,A,Yangon,Normal,Male,"Home and lifestyle",2019-03-01,18:14:00,Ewallet,9.7,34.73,2,69.46,3.4730,72.9330,65.9870,Evening,Friday,March,Bad
220-68-6701,A,Yangon,Normal,Female,"Home and lifestyle",2019-03-17,16:36:00,Cash,4.2,77.47,4,309.88,15.4940,325.3740,294.3860,Evening,Sunday,March,Good
221-25-5073,A,Yangon,Normal,Female,"Food and beverages",2019-03-04,10:39:00,Cash,8.5,74.66,4,298.64,14.9320,313.5720,283.7080,Morning,Monday,March,Bad
222-42-0244,B,Mandalay,Member,Female,"Health and beauty",2019-01-28,13:53:00,"Credit card",7.7,72.11,9,648.99,32.4495,681.4395,616.5405,Afternoon,Monday,January,Good
225-32-0908,C,Naypyitaw,Normal,Female,"Sports and travel",2019-01-26,19:54:00,Ewallet,8.2,44.86,10,448.60,22.4300,471.0300,426.1700,Evening,Saturday,January,Good
225-98-1496,C,Naypyitaw,Normal,Female,"Fashion accessories",2019-03-02,13:01:00,"Credit card",7.1,27.02,3,81.06,4.0530,85.1130,77.0070,Afternoon,Saturday,March,Bad
226-31-3081,C,Naypyitaw,Normal,Female,"Electronic accessories",2019-03-08,10:29:00,Cash,9.6,15.28,5,76.40,3.8200,80.2200,72.5800,Morning,Friday,March,Bad
226-34-0034,B,Mandalay,Normal,Female,"Electronic accessories",2019-01-10,11:10:00,Ewallet,9.0,13.78,4,55.12,2.7560,57.8760,52.3640,Morning,Thursday,January,Bad
226-71-3580,C,Naypyitaw,Normal,Female,"Sports and travel",2019-01-31,12:02:00,Cash,9.5,23.75,9,213.75,10.6875,224.4375,203.0625,Afternoon,Thursday,January,Bad
227-03-5010,A,Yangon,Member,Female,"Home and lifestyle",2019-03-22,19:20:00,"Credit card",8.5,52.59,8,420.72,21.0360,441.7560,399.6840,Evening,Friday,March,Good
227-07-4446,C,Naypyitaw,Member,Female,"Electronic accessories",2019-02-10,20:51:00,Cash,4.4,78.13,10,781.30,39.0650,820.3650,742.2350,Evening,Sunday,February,Good
227-50-3718,A,Yangon,Normal,Male,"Health and beauty",2019-03-04,12:23:00,Cash,4.4,14.62,5,73.10,3.6550,76.7550,69.4450,Afternoon,Monday,March,Bad
